minute, survival, tuple, group
29.772727272727266, 0.15998587196060593, 0, 10minpH7.5
34.54545454545454, 0.15505157798326258, 0, 10minpH6.65
30.113636363636353, 0.023667351447252377, 0, 15minpH7.5
35.22727272727272, 0.01015787165229709, 0, 15minpH6.65
30.454545454545453, 0.0057796928841533195, 0, 20minpH7.5
35.22727272727272, 0.0041595621630718515, 0, 20minpH6.65
59.772727272727266, 0.20879874845047525, 1, 10minpH7.5
67.95454545454545, 0.11880369057098958, 1, 10minpH6.65
60.11363636363636, 0.020235896477251596, 1, 15minpH7.5
64.20454545454545, 0.007196856730011528, 1, 15minpH6.65
59.772727272727266, 0.005344304028586766, 1, 20minpH7.5
64.88636363636363, 0.0016507719276329057, 1, 20minpH6.65
119.43181818181817, 0.15505157798326258, 2, 10minpH7.5
124.54545454545452, 0.04031272694269977, 2, 10minpH6.65
120.11363636363636, 0.015749940286401132, 2, 15minpH7.5
119.43181818181817, 0.0007310474696342764, 2, 15minpH6.65
126.24999999999999, 0.0037275937203149418, 2, 20minpH7.5
125.90909090909089, 0.0002947051702551813, 2, 20minpH6.65
