expid,Temperature,pH,Time,Viabilty
TempOnly,43,7,15,1
TempOnly,43,7,25,1
TempOnly,43,7,30,1
TempOnly,43,7,40,1
TempOnly,45,7,10,0.803
TempOnly,45,7,20,0.421
TempOnly,45,7,40,0.03
TempOnly,47,7,15,0.016
TempOnly,47,7,20,0.018
TempOnly,47,7,25,0.003
TempOnly,49,7,10,0.04
TempOnly,49,7,15,0
TempOnly,49,7,20,0
TempOnly,52,7,10,0
TempOnly,52,7,20,0
TempOnly,52,7,30,0
pHOnly,37,6.75,15,0.63
pHOnly,37,6.75,20,0.44
pHOnly,37,6.75,30,0.62
pHOnly,37,6.75,40,0.6
pHOnly,37,6.75,60,0.4
pHOnly,37,6.5,15,0.94
pHOnly,37,6.5,20,0.45
pHOnly,37,6.5,30,0.62
pHOnly,37,6.5,40,0.54
pHOnly,37,6.5,60,0.33
pHOnly,37,6.25,15,0.62
pHOnly,37,6.25,20,0.41
pHOnly,37,6.25,40,0.37
pHOnly,37,6.25,60,0.25
pHOnly,37,6,15,0.54
pHOnly,37,6,20,0.32
pHOnly,37,6,40,0.32
pHOnly,37,6,60,0.16
combined,43,6.75,30,0.43
combined,43,6,30,0.16
combined,45,6.75,30,0.2
combined,45,6,30,0.03
